name,state_code,country_code
Ellenabad,AN,IN
Faridabad,AN,IN
Farrukhnagar,AN,IN
Fatehabad,AN,IN
Firozpur Jhirka,AP,IN
Gharaunda,AP,IN
Gohana,AP,IN
Gorakhpur,AP,IN
Gurgaon,AP,IN
Hansi,AP,IN
Hasanpur,AP,IN
Hisar,AP,IN
Hodal,AP,IN
Inda Chhoi,AP,IN
Indri,AP,IN
Jagadhri,AP,IN
Jakhal,AP,IN
Jhajjar,AP,IN
Jind,AP,IN
Kaithal,AP,IN
Kalanaur,AP,IN
Kalanwali,AP,IN
Kanina Khas,AP,IN
Karnal,AP,IN
Kharkhauda,AP,IN
Kheri Sampla,AP,IN
Kurukshetra,AP,IN
Ladwa,AP,IN
Loharu,AP,IN
Maham,AP,IN
Mahendragarh,AP,IN
Mandholi Kalan,AP,IN
Mustafabad,AP,IN
Narayangarh,AP,IN
Narnaul,AP,IN
Narnaund,AP,IN
Narwana,AP,IN
Nilokheri,AP,IN
Nuh,AP,IN
Palwal,AP,IN
Panchkula,AP,IN
Panipat,AP,IN
Pataudi,AP,IN
Pehowa,AP,IN
Pinjaur,AP,IN
Punahana,AP,IN
Pundri,AP,IN
Radaur,AP,IN
Rania,AP,IN
Ratia,AP,IN
Rewari,AP,IN
Rohtak,AP,IN
Safidon,AP,IN
Samalkha,AP,IN
Shadipur Julana,AP,IN
Shahabad,AP,IN
Sirsa,AP,IN
Sohna,AP,IN
Sonipat,AP,IN
Taoru,AP,IN
Thanesar,AP,IN
Tohana,AP,IN
Tosham,AP,IN
Uklana,AP,IN
Yamunanagar,AP,IN
Arki,AP,IN
Baddi,AP,IN
Banjar,AP,IN
Chamba,AP,IN
Chaupal,AP,IN
Chowari,AP,IN
Chuari Khas,AP,IN
Dagshai,AP,IN
Dalhousie,AP,IN
Daulatpur,AP,IN
Dera Gopipur,AP,IN
Dharamsala,AP,IN
Gagret,AP,IN
Ghumarwin,AP,IN
Hamirpur,AP,IN
Jawala Mukhi,AP,IN
Jogindarnagar,AP,IN
Jubbal,AP,IN
Jutogh,AP,IN
Kalka,AP,IN
Kangar,AP,IN
Kangra,AP,IN
Kasauli,AP,IN
Kinnaur,AP,IN
Kotkhai,AP,IN
Kotla,AP,IN
Kulu,AP,IN
Kyelang,AP,IN
Lahul and Spiti,AP,IN
Manali,AP,IN
Mandi,AP,IN
Nadaun,AP,IN
Nagar,AP,IN
Nagrota,AP,IN
Nahan,AP,IN
Nalagarh,AP,IN
Palampur,AP,IN
Pandoh,AP,IN
Bokaro,AP,IN
Paonta Sahib,AP,IN
Parwanoo,AP,IN
Rajgarh,AP,IN
Rampur,AP,IN
Rohru,AP,IN
Sabathu,AP,IN
Santokhgarh,AP,IN
Sarahan,AP,IN
Sarka Ghat,AP,IN
Seoni,AP,IN
Shimla,AP,IN
Sirmaur,AP,IN
Solan,AP,IN
Sundarnagar,AP,IN
Theog,AP,IN
Tira Sujanpur,AP,IN
Yol,AP,IN
Akhnur,AP,IN
Anantnag,AP,IN
Awantipur,AP,IN
Badgam,AP,IN
Bandipore,AP,IN
Banihal,AP,IN
Baramula,AP,IN
Batoti,AP,IN
Bhadarwah,AP,IN
Bijbehara,AP,IN
Bishnah,AP,IN
Doda,AP,IN
Ganderbal,AP,IN
Gho Brahmanan de,AP,IN
Hajan,AP,IN
Hiranagar,AP,IN
Jammu,AP,IN
Jaurian,AP,IN
Kathua,AP,IN
Katra,AP,IN
Khaur,AP,IN
Kishtwar,AP,IN
Kud,AP,IN
Kulgam,AP,IN
Kupwara,AP,IN
Ladakh,AP,IN
Magam,AP,IN
Nawanshahr,AP,IN
Noria,AP,IN
Padam,AP,IN
Pahlgam,AP,IN
Parol,AP,IN
Pattan,AP,IN
Pulwama,AP,IN
Punch,AP,IN
Qazigund,AP,IN
Rajaori,AP,IN
Rajauri,AP,IN
Ramban,AP,IN
Ramgarh,AP,IN
Riasi,AP,IN
Samba,AP,IN
Shupiyan,AP,IN
Sopur,AP,IN
Soyibug,AP,IN
Srinagar,AP,IN
Sumbal,AP,IN
Thang,AP,IN
Thanna Mandi,AP,IN
Tral,AP,IN
Tsrar Sharif,AP,IN
Udhampur,AR,IN
Uri,AR,IN
Bagra,AR,IN
Barka Kana,AR,IN
Barki Saria,AR,IN
Barwadih,AR,IN
Bhojudih,AR,IN
Bundu,AR,IN
Chaibasa,AR,IN
Chakradharpur,AR,IN
Chakulia,AR,IN
Chandil,AR,IN
Chas,AR,IN
Chatra,AR,IN
Chiria,AR,IN
Daltonganj,AR,IN
Deogarh,AR,IN
Dhanbad,AR,IN
Dhanwar,AR,IN
Dugda,AR,IN
Dumka,AR,IN
Garhwa,AR,IN
Ghatsila,AR,IN
Giridih,AR,IN
Gobindpur,AR,IN
Godda,AR,IN
Gomoh,AS,IN
Gopinathpur,AS,IN
Gua,AS,IN
Gumia,AS,IN
Gumla,AS,IN
Hazaribag,AS,IN
Hazaribagh,AS,IN
Hesla,AS,IN
Husainabad,AS,IN
Jagannathpur,AS,IN
Jamadoba,AS,IN
Jamshedpur,AS,IN
Jamtara,AS,IN
Jasidih,AS,IN
Jharia,AS,IN
Jugsalai,AS,IN
Jumri Tilaiya,AS,IN
Kalikapur,AS,IN
Kandra,AS,IN
Kanke,AS,IN
Katras,AS,IN
Kenduadih,AS,IN
Kharsawan,AS,IN
Khunti,AS,IN
Kodarma,AS,IN
Kuju,AS,IN
Latehar,AS,IN
Lohardaga,AS,IN
Madhupur,AS,IN
Malkera,AS,IN
Manoharpur,AS,IN
Mugma,AS,IN
Mushabani,AS,IN
Neturhat,AS,IN
Nirsa,AS,IN
Noamundi,AS,IN
Pakur,AS,IN
Palamu,AS,IN
Pashchim Singhbhum,AS,IN
patamda,AS,IN
Pathardih,AS,IN
Purba Singhbhum,AS,IN
Ranchi,AS,IN
Ray,AS,IN
Sahibganj,AS,IN
Saraikela,AS,IN
Sarubera,AS,IN
Sijua,AS,IN
Simdega,AS,IN
Sini,AS,IN
Topchanchi,AS,IN
Afzalpur,AS,IN
Ajjampur,AS,IN
Aland,AS,IN
Alnavar,AS,IN
Alur,AS,IN
Anekal,AS,IN
Ankola,AS,IN
Annigeri,AS,IN
Arkalgud,AS,IN
Arsikere,AS,IN
Athni,AS,IN
Aurad,AS,IN
Badami,AS,IN
Bagalkot,AS,IN
Bagepalli,AS,IN
Bail-Hongal,AS,IN
Ballari,AS,IN
Banavar,AS,IN
Bangalore Rural,AS,IN
Bangalore Urban,AS,IN
Bangarapet,AS,IN
Bannur,AS,IN
Bantval,AS,IN
Basavakalyan,AS,IN
Basavana Bagevadi,AS,IN
Belagavi,AS,IN
Belluru,AS,IN
Beltangadi,AS,IN
Belur,AS,IN
Bengaluru,AS,IN
Bhadravati,AS,IN
Bhalki,AS,IN
Bhatkal,AS,IN
Bidar,AS,IN
Bilgi,AS,IN
Birur,AS,IN
Byadgi,BR,IN
Byndoor,BR,IN
Canacona,BR,IN
Challakere,BR,IN
Chamrajnagar,BR,IN
Channagiri,BR,IN
Channapatna,BR,IN
Channarayapatna,BR,IN
Chik Ballapur,BR,IN
Chikkaballapur,BR,IN
Chikkamagaluru,BR,IN
Chiknayakanhalli,BR,IN
Chikodi,BR,IN
Chincholi,BR,IN
Chintamani,BR,IN
Chitapur,BR,IN
Chitradurga,BR,IN
Closepet,BR,IN
Coondapoor,BR,IN
Dakshina Kannada,BR,IN
Dandeli,BR,IN
Davanagere,BR,IN
Devanhalli,BR,IN
Dharwad,BR,IN
Dod Ballapur,BR,IN
French Rocks,BR,IN
Gadag,BR,IN
Gadag-Betageri,BR,IN
Gajendragarh,BR,IN
Gangawati,BR,IN
Gangolli,BR,IN
Gokak,BR,IN
Gokarna,BR,IN
Goribidnur,BR,IN
Gorur,BR,IN
Gubbi,BR,IN
Gudibanda,BR,IN
Guledagudda,BR,IN
Gundlupet,BR,IN
Gurmatkal,BR,IN
Hadagalli,BR,IN
Haliyal,BR,IN
Hampi,BR,IN
Hangal,BR,IN
Harihar,BR,IN
Harpanahalli,BR,IN
Hassan,BR,IN
Haveri,BR,IN
Heggadadevankote,BR,IN
Hirekerur,BR,IN
Hiriyur,BR,IN
Holalkere,BR,IN
Hole Narsipur,BR,IN
Homnabad,BR,IN
Honavar,BR,IN
Honnali,BR,IN
Hosanagara,BR,IN
Hosangadi,BR,IN
Hosdurga,BR,IN
Hoskote,BR,IN
Hospet,BR,IN
Hubballi,BR,IN
Hukeri,BR,IN
Hungund,BR,IN
Hunsur,BR,IN
Ilkal,BR,IN
Indi,BR,IN
Jagalur,BR,IN
Jamkhandi,BR,IN
Jevargi,BR,IN
Kadur,BR,IN
Kalaburgi,BR,IN
Kalghatgi,BR,IN
Kampli,BR,IN
Kankanhalli,BR,IN
Karkala,BR,IN
Karwar,BR,IN
Kavalur,BR,IN
Kerur,BR,IN
Khanapur,BR,IN
Kodagu,BR,IN
Kodigenahalli,BR,IN
Kodlipet,BR,IN
Kolar,BR,IN
Kollegal,BR,IN
Konanur,BR,IN
Konnur,BR,IN
Koppa,BR,IN
Koppal,BR,IN
Koratagere,BR,IN
Kotturu,BR,IN
Krishnarajpet,BR,IN
Kudachi,BR,IN
Kudligi,BR,IN
Kumsi,BR,IN
Kumta,BR,IN
Kundgol,BR,IN
Kunigal,BR,IN
Kurgunta,BR,IN
Kushalnagar,BR,IN
Kushtagi,BR,IN
Lakshmeshwar,BR,IN
Lingsugur,BR,IN
Londa,BR,IN
Maddagiri,BR,IN
Maddur,BR,IN
Madikeri,BR,IN
Magadi,BR,IN
Mahalingpur,BR,IN
Malavalli,BR,IN
Malpe,BR,IN
Malur,BR,IN
Mandya,BR,IN
Mangaluru,BR,IN
Manipal,BR,IN
Manvi,BR,IN
Mayakonda,BR,IN
Melukote,BR,IN
Mudbidri,BR,IN
Muddebihal,BR,IN
Mudgal,BR,IN
Mudgere,BR,IN
Mudhol,BR,IN
Mulbagal,BR,IN
Mulgund,BR,IN
Mulki,BR,IN
Mundargi,BR,IN
Mundgod,BR,IN
Munirabad,BR,IN
Murudeshwara,BR,IN
Mysuru,BR,IN
Nagamangala,CH,IN
Nanjangud,CT,IN
Narasimharajapura,CT,IN
Naregal,CT,IN
Nargund,CT,IN
Navalgund,CT,IN
Nelamangala,CT,IN
Nyamti,CT,IN
Pangala,CT,IN
Pavugada,CT,IN
Piriyapatna,CT,IN
Ponnampet,CT,IN
Rabkavi,CT,IN
Raichur,CT,IN
Ramanagara,CT,IN
Ranibennur,CT,IN
Raybag,CT,IN
Robertsonpet,CT,IN
Ron,CT,IN
Sadalgi,CT,IN
Sagar,CT,IN
Sakleshpur,CT,IN
Sandur,CT,IN
Sanivarsante,CT,IN
Sankeshwar,CT,IN
Sargur,CT,IN
Saundatti,CT,IN
Savanur,CT,IN
Seram,CT,IN
Shiggaon,CT,IN
Shikarpur,CT,IN
Shimoga,CT,IN
Shirhatti,CT,IN
Shorapur,CT,IN
Shrirangapattana,CT,IN
Siddapur,CT,IN
Sidlaghatta,CT,IN
Sindgi,CT,IN
Sindhnur,CT,IN
Sira,CT,IN
Sirsi,CT,IN
Siruguppa,CT,IN
Someshwar,CT,IN
Somvarpet,CT,IN
Sorab,CT,IN
Sravana Belgola,CT,IN
Sringeri,CT,IN
Srinivaspur,CT,IN
Sulya,CT,IN
Suntikoppa,CT,IN
Talikota,CT,IN
Tarikere,CT,IN
Tekkalakote,CT,IN
Terdal,CT,IN
Tiptur,CT,IN
Tirthahalli,CT,IN
Tirumakudal Narsipur,CT,IN
Tumakuru,CT,IN
Turuvekere,CT,IN
Udupi,CT,IN
Ullal,CT,IN
Uttar Kannada,CT,IN
Vadigenhalli,CT,IN
Vijayapura,CT,IN
Virarajendrapet,CT,IN
Wadi,CT,IN
Yadgir,CT,IN
Yelahanka,CT,IN
Yelandur,CT,IN
Yelbarga,CT,IN
Yellapur,CT,IN
Adur,CT,IN
Alappuzha,CT,IN
Aluva,CT,IN
Alwaye,CT,IN
Angamali,CT,IN
Aroor,CT,IN
Arukutti,CT,IN
Attingal,CT,IN
Avanoor,DH,IN
Azhikkal,DH,IN
Badagara,DH,IN
Beypore,DH,IN
Changanacheri,DH,IN
Chelakara,DH,IN
Chengannur,DL,IN
Cherpulassery,DL,IN
Cherthala,DL,IN
Chetwayi,DL,IN
Chittur,DL,IN
Cochin,DL,IN
Dharmadam,DL,IN
Edakkulam,DL,IN
Elur,DL,IN
Erattupetta,DL,IN
Ernakulam,DL,IN
Ferokh,DL,IN
Guruvayur,DL,IN
Idukki,DL,IN
Iringal,DL,IN
Irinjalakuda,DL,IN
Kadakkavoor,DL,IN
Kalamassery,DL,IN
Kalavoor,DL,IN
Kalpatta,GA,IN
Kannangad,GA,IN
Kannavam,GA,IN
Kannur,GA,IN
Kasaragod,GA,IN
Kasaragod District,GA,IN
Kattanam,GA,IN
Kayankulam,GA,IN
Kizhake Chalakudi,GA,IN
Kodungallur,GA,IN
Kollam,GA,IN
Kotamangalam,GA,IN
Kottayam,GA,IN
Kovalam,GA,IN
Kozhikode,GA,IN
Kumbalam,GA,IN
Kunnamangalam,GA,IN
Kunnamkulam,GA,IN
Kunnumma,GA,IN
Kutiatodu,GA,IN
Kuttampuzha,GA,IN
Lalam,GA,IN
Mahe,GA,IN
Malappuram,GA,IN
Manjeri,GA,IN
Manjeshvar,GA,IN
Mannarakkat,GA,IN
Marayur,GA,IN
Mattanur,GA,IN
Mavelikara,GA,IN
Mavoor,GA,IN
Muluppilagadu,GA,IN
Munnar,GA,IN
Muvattupula,GA,IN
Muvattupuzha,GA,IN
Nadapuram,GA,IN
